Timestamp,kwh
2024-02-01 00:00:00,4.05
2024-02-01 01:00:00,2.91
2024-02-01 02:00:00,3.69
2024-02-01 03:00:00,3.56
2024-02-01 04:00:00,4.56
2024-02-01 05:00:00,4.09
2024-02-01 06:00:00,4.08
2024-02-01 07:00:00,4.2
2024-02-01 08:00:00,20.29
2024-02-01 09:00:00,17.97
2024-02-01 10:00:00,23.09
2024-02-01 11:00:00,18.54
2024-02-01 12:00:00,16.89
2024-02-01 13:00:00,20.96
2024-02-01 14:00:00,19.19
2024-02-01 15:00:00,18.84
2024-02-01 16:00:00,18.73
2024-02-01 17:00:00,16.73
2024-02-01 18:00:00,20.42
2024-02-01 19:00:00,3.75
2024-02-01 20:00:00,3.98
2024-02-01 21:00:00,4.33
2024-02-01 22:00:00,3.38
2024-02-01 23:00:00,3.43
2024-02-02 00:00:00,5.03
2024-02-02 01:00:00,3.44
2024-02-02 02:00:00,3.93
2024-02-02 03:00:00,4.78
2024-02-02 04:00:00,3.65
2024-02-02 05:00:00,4.49
2024-02-02 06:00:00,4.35
2024-02-02 07:00:00,3.27
2024-02-02 08:00:00,23.67
2024-02-02 09:00:00,19.99
2024-02-02 10:00:00,21.84
2024-02-02 11:00:00,17.75
2024-02-02 12:00:00,21.78
2024-02-02 13:00:00,15.36
2024-02-02 14:00:00,19.75
2024-02-02 15:00:00,19.73
2024-02-02 16:00:00,19.03
2024-02-02 17:00:00,14.97
2024-02-02 18:00:00,15.17
2024-02-02 19:00:00,4.14
2024-02-02 20:00:00,2.93
2024-02-02 21:00:00,3.94
2024-02-02 22:00:00,4.74
2024-02-02 23:00:00,3.92
2024-02-03 00:00:00,3.7
2024-02-03 01:00:00,4.85
2024-02-03 02:00:00,4.82
2024-02-03 03:00:00,4.32
2024-02-03 04:00:00,4.26
2024-02-03 05:00:00,4.22
2024-02-03 06:00:00,3.75
2024-02-03 07:00:00,3.03
2024-02-03 08:00:00,18.25
2024-02-03 09:00:00,19.66
2024-02-03 10:00:00,18.95
2024-02-03 11:00:00,21.74
2024-02-03 12:00:00,19.85
2024-02-03 13:00:00,19.03
2024-02-03 14:00:00,20.76
2024-02-03 15:00:00,19.61
2024-02-03 16:00:00,17.35
2024-02-03 17:00:00,20.94
2024-02-03 18:00:00,18.77
2024-02-03 19:00:00,2.42
2024-02-03 20:00:00,3.75
2024-02-03 21:00:00,4.17
2024-02-03 22:00:00,4.71
2024-02-03 23:00:00,3.88
2024-02-04 00:00:00,4.17
