Timestamp,kwh
2024-01-01 00:00:00,3.28
2024-01-01 01:00:00,3.6
2024-01-01 02:00:00,3.79
2024-01-01 03:00:00,3.44
2024-01-01 04:00:00,4.47
2024-01-01 05:00:00,4.09
2024-01-01 06:00:00,4.52
2024-01-01 07:00:00,3.85
2024-01-01 08:00:00,16.5
2024-01-01 09:00:00,17.7
2024-01-01 10:00:00,15.97
2024-01-01 11:00:00,21.97
2024-01-01 12:00:00,16.87
2024-01-01 13:00:00,23.87
2024-01-01 14:00:00,20.89
2024-01-01 15:00:00,20.86
2024-01-01 16:00:00,18.87
2024-01-01 17:00:00,23.13
2024-01-01 18:00:00,19.2
2024-01-01 19:00:00,3.97
2024-01-01 20:00:00,4.2
2024-01-01 21:00:00,3.7
2024-01-01 22:00:00,3.39
2024-01-01 23:00:00,4.41
2024-01-02 00:00:00,4.35
2024-01-02 01:00:00,4.02
2024-01-02 02:00:00,3.22
2024-01-02 03:00:00,4.4
2024-01-02 04:00:00,4.39
2024-01-02 05:00:00,3.87
2024-01-02 06:00:00,3.8
2024-01-02 07:00:00,3.84
2024-01-02 08:00:00,20.12
2024-01-02 09:00:00,18.96
2024-01-02 10:00:00,17.93
2024-01-02 11:00:00,19.59
2024-01-02 12:00:00,20.72
2024-01-02 13:00:00,19.74
2024-01-02 14:00:00,19.47
2024-01-02 15:00:00,17.87
2024-01-02 16:00:00,21.8
2024-01-02 17:00:00,19.09
2024-01-02 18:00:00,13.66
2024-01-02 19:00:00,4.31
2024-01-02 20:00:00,3.65
2024-01-02 21:00:00,4.23
2024-01-02 22:00:00,3.42
2024-01-02 23:00:00,4.07
2024-01-03 00:00:00,3.57
2024-01-03 01:00:00,3.47
2024-01-03 02:00:00,3.9
2024-01-03 03:00:00,4.29
2024-01-03 04:00:00,4.16
2024-01-03 05:00:00,3.57
2024-01-03 06:00:00,4.65
2024-01-03 07:00:00,4.3
2024-01-03 08:00:00,19.87
2024-01-03 09:00:00,17.55
2024-01-03 10:00:00,16.46
2024-01-03 11:00:00,19.42
2024-01-03 12:00:00,19.37
2024-01-03 13:00:00,20.75
2024-01-03 14:00:00,16.77
2024-01-03 15:00:00,18.78
2024-01-03 16:00:00,19.85
2024-01-03 17:00:00,19.44
2024-01-03 18:00:00,22.69
2024-01-03 19:00:00,3.75
2024-01-03 20:00:00,3.94
2024-01-03 21:00:00,3.33
2024-01-03 22:00:00,3.69
2024-01-03 23:00:00,2.94
2024-01-04 00:00:00,3.36
2024-01-04 01:00:00,3.96
2024-01-04 02:00:00,3.58
2024-01-04 03:00:00,3.62
2024-01-04 04:00:00,4.55
2024-01-04 05:00:00,4.34
2024-01-04 06:00:00,3.35
2024-01-04 07:00:00,4.13
2024-01-04 08:00:00,17.35
2024-01-04 09:00:00,17.8
2024-01-04 10:00:00,19.56
2024-01-04 11:00:00,16.16
2024-01-04 12:00:00,19.3
2024-01-04 13:00:00,19.66
2024-01-04 14:00:00,22.31
2024-01-04 15:00:00,19.03
2024-01-04 16:00:00,18.57
2024-01-04 17:00:00,17.37
2024-01-04 18:00:00,16.76
2024-01-04 19:00:00,4.58
2024-01-04 20:00:00,4.34
2024-01-04 21:00:00,4.61
2024-01-04 22:00:00,4.13
2024-01-04 23:00:00,3.77
2024-01-05 00:00:00,3.88
2024-01-05 01:00:00,3.83
2024-01-05 02:00:00,4.51
2024-01-05 03:00:00,4.51
2024-01-05 04:00:00,3.91
2024-01-05 05:00:00,3.68
2024-01-05 06:00:00,3.61
2024-01-05 07:00:00,4.81
2024-01-05 08:00:00,18.05
2024-01-05 09:00:00,19.26
2024-01-05 10:00:00,19.82
2024-01-05 11:00:00,20.27
2024-01-05 12:00:00,19.06
2024-01-05 13:00:00,20.53
2024-01-05 14:00:00,17.69
2024-01-05 15:00:00,19.93
2024-01-05 16:00:00,19.53
2024-01-05 17:00:00,21.69
2024-01-05 18:00:00,21.28
2024-01-05 19:00:00,4.55
2024-01-05 20:00:00,3.13
2024-01-05 21:00:00,4.49
2024-01-05 22:00:00,3.81
2024-01-05 23:00:00,4.15
2024-01-06 00:00:00,3.86
2024-01-06 01:00:00,4.43
2024-01-06 02:00:00,4.37
2024-01-06 03:00:00,3.85
2024-01-06 04:00:00,3.67
2024-01-06 05:00:00,3.23
2024-01-06 06:00:00,4.07
2024-01-06 07:00:00,4.71
2024-01-06 08:00:00,18.03
2024-01-06 09:00:00,20.28
2024-01-06 10:00:00,16.7
2024-01-06 11:00:00,19.19
2024-01-06 12:00:00,13.06
2024-01-06 13:00:00,14.06
2024-01-06 14:00:00,21.29
2024-01-06 15:00:00,18.17
2024-01-06 16:00:00,15.71
2024-01-06 17:00:00,23.18
2024-01-06 18:00:00,16.26
2024-01-06 19:00:00,4.73
2024-01-06 20:00:00,3.37
2024-01-06 21:00:00,3.67
2024-01-06 22:00:00,4.85
2024-01-06 23:00:00,3.64
2024-01-07 00:00:00,3.87
2024-01-07 01:00:00,3.95
2024-01-07 02:00:00,4.17
2024-01-07 03:00:00,3.75
2024-01-07 04:00:00,4.52
2024-01-07 05:00:00,3.72
2024-01-07 06:00:00,3.92
2024-01-07 07:00:00,4.35
2024-01-07 08:00:00,18.4
2024-01-07 09:00:00,16.41
2024-01-07 10:00:00,17.61
2024-01-07 11:00:00,17.7
2024-01-07 12:00:00,21.47
2024-01-07 13:00:00,18.47
2024-01-07 14:00:00,20.25
2024-01-07 15:00:00,21.08
2024-01-07 16:00:00,17.13
2024-01-07 17:00:00,21.34
2024-01-07 18:00:00,15.51
2024-01-07 19:00:00,4.51
2024-01-07 20:00:00,4.01
2024-01-07 21:00:00,4.5
2024-01-07 22:00:00,4.55
2024-01-07 23:00:00,4.37
2024-01-08 00:00:00,4.24
